"","Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Savings_account_bonds","Present_employment_since","Installment_rate_in_percentage_of_disposable_income","Personal_status_and_sex","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","foreign_worker","Good_Loan"
"24","0 < =  ... < 200 DM",12,"critical account/other credits existing (not at this bank)","car (used)",1804,"100 < =  ... < 500 DM","... < 1 year",3,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",44,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"25","no checking account",10,"critical account/other credits existing (not at this bank)","furniture/equipment",2069,"unknown/ no savings account","1 < =  ... < 4 years",2,"male : married/widowed","none",1,"if not A121/A122 : car or other, not in attribute 6",26,"none","own",2,"skilled employee / official",1,"none","no","GoodLoan"
"26","... < 0 DM",6,"existing credits paid back duly till now","furniture/equipment",1374,"... < 100 DM","1 < =  ... < 4 years",1,"male : single","none",2,"real estate",36,"bank","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes","GoodLoan"
"27","no checking account",6,"no credits taken/all credits paid back duly","radio/television",426,"... < 100 DM",".. > =  7 years",4,"male : married/widowed","none",4,"if not A121/A122 : car or other, not in attribute 6",39,"none","own",1,"unskilled - resident",1,"none","yes","GoodLoan"
"28","... > =  200 DM / salary assignments for at least 1 year",12,"all credits at this bank paid back duly","radio/television",409,".. > =  1000 DM","1 < =  ... < 4 years",3,"female : divorced/separated/married","none",3,"real estate",42,"none","rent",2,"skilled employee / official",1,"none","yes","GoodLoan"
"29","0 < =  ... < 200 DM",7,"existing credits paid back duly till now","radio/television",2415,"... < 100 DM","1 < =  ... < 4 years",3,"male : single","guarantor",2,"real estate",34,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"30","... < 0 DM",60,"delay in paying off in the past","business",6836,"... < 100 DM",".. > =  7 years",3,"male : single","none",4,"unknown / no property",63,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"31","0 < =  ... < 200 DM",18,"existing credits paid back duly till now","business",1913,".. > =  1000 DM","... < 1 year",3,"male : married/widowed","none",3,"real estate",36,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"32","... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",4020,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",27,"stores","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"33","0 < =  ... < 200 DM",18,"existing credits paid back duly till now","car (new)",5866,"100 < =  ... < 500 DM","1 < =  ... < 4 years",2,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",30,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"34","no checking account",12,"critical account/other credits existing (not at this bank)","business",1264,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",4,"unknown / no property",57,"none","rent",1,"unskilled - resident",1,"none","yes","GoodLoan"
"35","... > =  200 DM / salary assignments for at least 1 year",12,"existing credits paid back duly till now","furniture/equipment",1474,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"if not A121 : building society savings agreement/life insurance",33,"bank","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"36","0 < =  ... < 200 DM",45,"critical account/other credits existing (not at this bank)","radio/television",4746,"... < 100 DM","... < 1 year",4,"male : single","none",2,"if not A121 : building society savings agreement/life insurance",25,"none","own",2,"unskilled - resident",1,"none","yes","BadLoan"
"37","no checking account",48,"critical account/other credits existing (not at this bank)","education",6110,"... < 100 DM","1 < =  ... < 4 years",1,"male : single","none",3,"unknown / no property",31,"bank","for free",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"38","... > =  200 DM / salary assignments for at least 1 year",18,"existing credits paid back duly till now","radio/television",2100,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","co-applicant",2,"real estate",37,"stores","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"39","... > =  200 DM / salary assignments for at least 1 year",10,"existing credits paid back duly till now","domestic appliances",1225,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",37,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"40","0 < =  ... < 200 DM",9,"existing credits paid back duly till now","radio/television",458,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",3,"real estate",24,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"41","no checking account",30,"existing credits paid back duly till now","radio/television",2333,"500 < =  ... < 1000 DM",".. > =  7 years",4,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",30,"bank","own",1,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","GoodLoan"
"42","0 < =  ... < 200 DM",12,"existing credits paid back duly till now","radio/television",1158,"500 < =  ... < 1000 DM","1 < =  ... < 4 years",3,"male : divorced/separated","none",1,"if not A121/A122 : car or other, not in attribute 6",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"43","0 < =  ... < 200 DM",18,"delay in paying off in the past","repairs",6204,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","none",4,"real estate",44,"none","own",1,"unskilled - resident",2,"yes, registered under the customers name","yes","GoodLoan"
"44","... < 0 DM",30,"critical account/other credits existing (not at this bank)","car (used)",6187,"100 < =  ... < 500 DM","4 < =  ... < 7 years",1,"male : married/widowed","none",4,"if not A121/A122 : car or other, not in attribute 6",24,"none","rent",2,"skilled employee / official",1,"none","yes","GoodLoan"
"45","... < 0 DM",48,"critical account/other credits existing (not at this bank)","car (used)",6143,"... < 100 DM",".. > =  7 years",4,"female : divorced/separated/married","none",4,"unknown / no property",58,"stores","for free",2,"unskilled - resident",1,"none","yes","BadLoan"
"46","no checking account",11,"critical account/other credits existing (not at this bank)","car (new)",1393,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",35,"none","own",2,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","GoodLoan"
"47","no checking account",36,"existing credits paid back duly till now","radio/television",2299,"500 < =  ... < 1000 DM",".. > =  7 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",39,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"48","... < 0 DM",6,"existing credits paid back duly till now","car (used)",1352,"500 < =  ... < 1000 DM","unemployed",1,"female : divorced/separated/married","none",2,"if not A121 : building society savings agreement/life insurance",23,"none","rent",1,"unemployed/ unskilled - non-resident",1,"yes, registered under the customers name","yes","GoodLoan"
"49","no checking account",11,"critical account/other credits existing (not at this bank)","car (new)",7228,"... < 100 DM","1 < =  ... < 4 years",1,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",39,"none","own",2,"unskilled - resident",1,"none","yes","GoodLoan"
"50","no checking account",12,"existing credits paid back duly till now","radio/television",2073,"100 < =  ... < 500 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","co-applicant",2,"real estate",28,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"51","0 < =  ... < 200 DM",24,"delay in paying off in the past","furniture/equipment",2333,"unknown/ no savings account","... < 1 year",4,"male : single","none",2,"if not A121 : building society savings agreement/life insurance",29,"bank","own",1,"unskilled - resident",1,"none","yes","GoodLoan"
"52","0 < =  ... < 200 DM",27,"delay in paying off in the past","car (used)",5965,"... < 100 DM",".. > =  7 years",1,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",30,"none","own",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"53","no checking account",12,"existing credits paid back duly till now","radio/television",1262,"... < 100 DM","1 < =  ... < 4 years",3,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",25,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"54","no checking account",18,"existing credits paid back duly till now","car (used)",3378,"unknown/ no savings account","1 < =  ... < 4 years",2,"male : single","none",1,"if not A121 : building society savings agreement/life insurance",31,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"55","0 < =  ... < 200 DM",36,"delay in paying off in the past","car (new)",2225,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"unknown / no property",57,"bank","for free",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"56","no checking account",6,"all credits at this bank paid back duly","car (new)",783,"unknown/ no savings account","1 < =  ... < 4 years",1,"male : single","guarantor",2,"real estate",26,"stores","own",1,"unskilled - resident",2,"none","yes","GoodLoan"
"57","0 < =  ... < 200 DM",12,"existing credits paid back duly till now","radio/television",6468,"unknown/ no savings account","unemployed",2,"male : single","none",1,"unknown / no property",52,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"58","no checking account",36,"critical account/other credits existing (not at this bank)","radio/television",9566,"... < 100 DM","1 < =  ... < 4 years",2,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",31,"stores","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"59","... > =  200 DM / salary assignments for at least 1 year",18,"existing credits paid back duly till now","car (new)",1961,"... < 100 DM",".. > =  7 years",3,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",23,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","GoodLoan"
"60","... < 0 DM",36,"critical account/other credits existing (not at this bank)","furniture/equipment",6229,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","co-applicant",4,"unknown / no property",23,"none","rent",2,"unskilled - resident",1,"yes, registered under the customers name","yes","BadLoan"
"61","0 < =  ... < 200 DM",9,"existing credits paid back duly till now","business",1391,"... < 100 DM","1 < =  ... < 4 years",2,"male : married/widowed","none",1,"real estate",27,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"62","0 < =  ... < 200 DM",15,"critical account/other credits existing (not at this bank)","radio/television",1537,"unknown/ no savings account",".. > =  7 years",4,"male : single","guarantor",4,"real estate",50,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"63","0 < =  ... < 200 DM",36,"no credits taken/all credits paid back duly","business",1953,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"unknown / no property",61,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"64","0 < =  ... < 200 DM",48,"no credits taken/all credits paid back duly","business",14421,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",25,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"65","no checking account",24,"existing credits paid back duly till now","radio/television",3181,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"66","no checking account",27,"existing credits paid back duly till now","repairs",5190,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",48,"none","own",4,"skilled employee / official",2,"yes, registered under the customers name","yes","GoodLoan"
"67","no checking account",12,"existing credits paid back duly till now","radio/television",2171,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",29,"bank","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"68","0 < =  ... < 200 DM",12,"existing credits paid back duly till now","car (new)",1007,".. > =  1000 DM","1 < =  ... < 4 years",4,"male : married/widowed","none",1,"real estate",22,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"69","no checking account",36,"existing credits paid back duly till now","education",1819,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",4,"unknown / no property",37,"stores","for free",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"70","no checking account",36,"existing credits paid back duly till now","radio/television",2394,"unknown/ no savings account","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",25,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"71","no checking account",36,"existing credits paid back duly till now","car (used)",8133,"... < 100 DM","1 < =  ... < 4 years",1,"female : divorced/separated/married","none",2,"if not A121 : building society savings agreement/life insurance",30,"bank","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"72","no checking account",7,"critical account/other credits existing (not at this bank)","radio/television",730,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",2,"if not A121 : building society savings agreement/life insurance",46,"none","rent",2,"unskilled - resident",1,"yes, registered under the customers name","yes","GoodLoan"
"73","... < 0 DM",8,"critical account/other credits existing (not at this bank)","others",1164,"... < 100 DM",".. > =  7 years",3,"male : single","none",4,"unknown / no property",51,"bank","for free",2,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","GoodLoan"
"74","0 < =  ... < 200 DM",42,"critical account/other credits existing (not at this bank)","business",5954,"... < 100 DM","4 < =  ... < 7 years",2,"female : divorced/separated/married","none",1,"real estate",41,"bank","own",2,"unskilled - resident",1,"none","yes","GoodLoan"
"75","... < 0 DM",36,"existing credits paid back duly till now","education",1977,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",4,"unknown / no property",40,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"76","... < 0 DM",12,"critical account/other credits existing (not at this bank)","car (used)",1526,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"unknown / no property",66,"none","for free",2,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","GoodLoan"
"77","... < 0 DM",42,"existing credits paid back duly till now","radio/television",3965,"... < 100 DM","... < 1 year",4,"male : single","none",3,"if not A121/A122 : car or other, not in attribute 6",34,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"78","0 < =  ... < 200 DM",11,"delay in paying off in the past","radio/television",4771,"... < 100 DM","4 < =  ... < 7 years",2,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",51,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"79","no checking account",54,"no credits taken/all credits paid back duly","car (used)",9436,"unknown/ no savings account","1 < =  ... < 4 years",2,"male : single","none",2,"if not A121 : building society savings agreement/life insurance",39,"none","own",1,"unskilled - resident",2,"none","yes","GoodLoan"
"80","0 < =  ... < 200 DM",30,"existing credits paid back duly till now","furniture/equipment",3832,"... < 100 DM","... < 1 year",2,"male : married/widowed","none",1,"if not A121 : building society savings agreement/life insurance",22,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"81","no checking account",24,"existing credits paid back duly till now","radio/television",5943,"unknown/ no savings account","... < 1 year",1,"female : divorced/separated/married","none",1,"if not A121/A122 : car or other, not in attribute 6",44,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"82","no checking account",15,"existing credits paid back duly till now","radio/television",1213,"500 < =  ... < 1000 DM",".. > =  7 years",4,"male : single","none",3,"if not A121 : building society savings agreement/life insurance",47,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"83","no checking account",18,"existing credits paid back duly till now","business",1568,"100 < =  ... < 500 DM","1 < =  ... < 4 years",3,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",24,"none","rent",1,"unskilled - resident",1,"none","yes","GoodLoan"
"84","... < 0 DM",24,"existing credits paid back duly till now","others",1755,"... < 100 DM",".. > =  7 years",4,"female : divorced/separated/married","guarantor",4,"real estate",58,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes","GoodLoan"
"85","... < 0 DM",10,"existing credits paid back duly till now","radio/television",2315,"... < 100 DM",".. > =  7 years",3,"male : single","none",4,"real estate",52,"none","own",1,"unskilled - resident",1,"none","yes","GoodLoan"
"86","no checking account",12,"critical account/other credits existing (not at this bank)","business",1412,"... < 100 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","guarantor",2,"real estate",29,"none","own",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"87","0 < =  ... < 200 DM",18,"critical account/other credits existing (not at this bank)","furniture/equipment",1295,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"if not A121 : building society savings agreement/life insurance",27,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"88","0 < =  ... < 200 DM",36,"existing credits paid back duly till now","education",12612,"100 < =  ... < 500 DM","1 < =  ... < 4 years",1,"male : single","none",4,"unknown / no property",47,"none","for free",1,"skilled employee / official",2,"yes, registered under the customers name","yes","BadLoan"
"89","... < 0 DM",18,"existing credits paid back duly till now","car (new)",2249,"100 < =  ... < 500 DM","4 < =  ... < 7 years",4,"male : single","none",3,"if not A121/A122 : car or other, not in attribute 6",30,"none","own",1,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","GoodLoan"
"90","... < 0 DM",12,"no credits taken/all credits paid back duly","repairs",1108,"... < 100 DM","4 < =  ... < 7 years",4,"male : single","none",3,"real estate",28,"none","own",2,"skilled employee / official",1,"none","yes","BadLoan"
"91","no checking account",12,"critical account/other credits existing (not at this bank)","radio/television",618,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"real estate",56,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"92","... < 0 DM",12,"critical account/other credits existing (not at this bank)","car (used)",1409,"... < 100 DM",".. > =  7 years",4,"male : single","none",3,"real estate",54,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"93","no checking account",12,"critical account/other credits existing (not at this bank)","radio/television",797,"unknown/ no savings account",".. > =  7 years",4,"female : divorced/separated/married","none",3,"if not A121 : building society savings agreement/life insurance",33,"bank","own",1,"unskilled - resident",2,"none","yes","BadLoan"
"94","... > =  200 DM / salary assignments for at least 1 year",24,"critical account/other credits existing (not at this bank)","furniture/equipment",3617,"unknown/ no savings account",".. > =  7 years",4,"male : single","co-applicant",4,"unknown / no property",20,"none","rent",2,"skilled employee / official",1,"none","yes","GoodLoan"
"95","0 < =  ... < 200 DM",12,"existing credits paid back duly till now","car (new)",1318,".. > =  1000 DM",".. > =  7 years",4,"male : single","none",4,"real estate",54,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"96","0 < =  ... < 200 DM",54,"no credits taken/all credits paid back duly","business",15945,"... < 100 DM","... < 1 year",3,"male : single","none",4,"unknown / no property",58,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"97","no checking account",12,"critical account/other credits existing (not at this bank)","education",2012,"unknown/ no savings account","4 < =  ... < 7 years",4,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",61,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"98","0 < =  ... < 200 DM",18,"existing credits paid back duly till now","business",2622,"100 < =  ... < 500 DM","1 < =  ... < 4 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",34,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"99","0 < =  ... < 200 DM",36,"critical account/other credits existing (not at this bank)","radio/television",2337,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"real estate",36,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"100","0 < =  ... < 200 DM",20,"delay in paying off in the past","car (used)",7057,"unknown/ no savings account","4 < =  ... < 7 years",3,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",36,"bank","rent",2,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","GoodLoan"
"101","no checking account",24,"existing credits paid back duly till now","car (new)",1469,"100 < =  ... < 500 DM",".. > =  7 years",4,"male : married/widowed","none",4,"real estate",41,"none","rent",1,"unskilled - resident",1,"none","yes","GoodLoan"
"102","0 < =  ... < 200 DM",36,"existing credits paid back duly till now","radio/television",2323,"... < 100 DM","4 < =  ... < 7 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",24,"none","rent",1,"skilled employee / official",1,"none","yes","GoodLoan"
"103","no checking account",6,"delay in paying off in the past","radio/television",932,"... < 100 DM","1 < =  ... < 4 years",3,"female : divorced/separated/married","none",2,"real estate",24,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"104","0 < =  ... < 200 DM",9,"critical account/other credits existing (not at this bank)","furniture/equipment",1919,"... < 100 DM","4 < =  ... < 7 years",4,"male : single","none",3,"if not A121/A122 : car or other, not in attribute 6",35,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"105","no checking account",12,"existing credits paid back duly till now","car (used)",2445,"unknown/ no savings account","... < 1 year",2,"male : married/widowed","none",4,"if not A121/A122 : car or other, not in attribute 6",26,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"106","0 < =  ... < 200 DM",24,"critical account/other credits existing (not at this bank)","others",11938,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","co-applicant",3,"if not A121/A122 : car or other, not in attribute 6",39,"none","own",2,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","BadLoan"
"107","no checking account",18,"all credits at this bank paid back duly","car (new)",6458,"... < 100 DM",".. > =  7 years",2,"male : single","none",4,"unknown / no property",39,"bank","own",2,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","BadLoan"
